id,ST_NUM,date1,Id_M,value1
336,1163294406,22/4/2025 00:00:00,18,-2
337,1152392328,22/4/2025 00:00:00,18,-2
338,1164925792,22/4/2025 00:00:00,18,-2
339,1156653600,22/4/2025 00:00:00,13,-2
340,1158705911,22/4/2025 00:00:00,13,-2
341,1155754656,22/4/2025 00:00:00,5,-1
342,1151980008,22/4/2025 00:00:00,5,-1
344,1150953592,22/4/2025 00:00:00,5,-1
347,1151403720,22/4/2025 00:00:00,5,-1
348,1151940606,22/4/2025 00:00:00,5,-1
349,1155333147,22/4/2025 00:00:00,5,-1
350,1154270266,22/4/2025 00:00:00,5,-1
351,1162600850,22/4/2025 00:00:00,5,-1
352,1163056672,22/4/2025 00:00:00,13,-2
353,1149867275,22/4/2025 00:00:00,18,-2
354,1161557069,22/4/2025 00:00:00,13,-2
355,1158136125,29/7/2016 00:00:00,13,-2
356,1155949892,29/7/2016 00:00:00,13,-2
357,1155949892,29/7/2016 00:00:00,20,-2
358,1163294430,22/4/2025 00:00:00,13,-2
359,1158317071,22/4/2025 00:00:00,13,-2
360,1159843455,22/4/2025 00:00:00,13,-2
361,1162875783,22/4/2025 00:00:00,13,-2
362,1160778021,22/4/2025 00:00:00,13,-2
363,1161186265,22/4/2025 00:00:00,13,-2
364,1160957138,22/4/2025 00:00:00,13,-2
365,1155783184,22/4/2025 00:00:00,15,-2
366,1163056672,22/4/2025 00:00:00,13,-2
367,1162516106,22/4/2025 00:00:00,13,-2
368,1157950567,22/4/2025 00:00:00,13,-2
369,1148771452,22/4/2025 00:00:00,13,-2
370,1151940606,22/4/2025 00:00:00,13,-2
371,1163065137,22/4/2025 00:00:00,13,-2
372,1152090575,22/4/2025 00:00:00,13,-2
373,1154186132,22/4/2025 00:00:00,13,-2
374,1160322374,22/4/2025 00:00:00,13,-2
375,1162754848,22/4/2025 00:00:00,16,-2
377,1153838477,22/4/2025 00:00:00,13,-2
378,1153040447,22/4/2025 00:00:00,13,-2
379,1149818575,22/4/2025 00:00:00,13,-2
380,1163056672,22/4/2025 00:00:00,13,-2
381,1152718308,22/4/2025 00:00:00,13,-2
383,1151086566,22/4/2025 00:00:00,13,-2
384,1153882194,22/4/2025 00:00:00,13,-2
385,1153108020,22/4/2025 00:00:00,13,-2
386,1151456884,22/4/2025 00:00:00,13,-2
387,1153640063,22/4/2025 00:00:00,13,-2
388,2063614547,22/4/2025 00:00:00,13,-2
389,1163065137,22/4/2025 00:00:00,15,-2
391,1163056672,22/4/2025 00:00:00,13,-2
392,1161918113,22/4/2025 00:00:00,13,-2
393,1162765059,22/4/2025 00:00:00,13,-2
394,1155247313,22/4/2025 00:00:00,13,-2
395,1154766453,22/4/2025 00:00:00,13,-2
396,1163056672,23/4/2025 00:00:00,24,-3
397,1150910477,23/4/2025 00:00:00,8,-1
398,1163294406,23/4/2025 00:00:00,8,-1
400,1152686406,23/4/2025 00:00:00,13,-2
401,1159401817,23/4/2025 00:00:00,3,-1
402,1163056672,23/4/2025 00:00:00,19,-2
403,1152127039,23/4/2025 00:00:00,13,-2
405,1159625274,23/4/2025 00:00:00,55,-15
406,1151957394,23/4/2025 00:00:00,4,-1
408,1162516106,23/4/2025 00:00:00,45,-10
409,1161374408,23/4/2025 00:00:00,55,-15
410,1154869661,23/4/2025 00:00:00,18,-2
412,1161918113,23/4/2025 00:00:00,13,-2
