serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
313,7/9/2025 00:00:00,,1162455800,2,,,,,
314,7/9/2025 00:00:00,,1162484982,2,,,,,
315,7/9/2025 00:00:00,,1162516106,2,,,,,
316,7/9/2025 00:00:00,,1162524613,2,,,,,
317,7/9/2025 00:00:00,,1162526477,2,,,,,
318,7/9/2025 00:00:00,,1162538027,2,,,,,
319,7/9/2025 00:00:00,,1162565111,2,,,,,
320,7/9/2025 00:00:00,,1162571655,2,,,,,
321,7/9/2025 00:00:00,,1162600850,2,,,,,
322,7/9/2025 00:00:00,,1162617987,2,,,,,
323,7/9/2025 00:00:00,,1162706368,2,,,,,
324,7/9/2025 00:00:00,,1162706608,2,,,,,
325,7/9/2025 00:00:00,,1162716052,2,,,,,
326,7/9/2025 00:00:00,,1162720799,2,,,,,
327,7/9/2025 00:00:00,,1162754848,2,,,,,
328,7/9/2025 00:00:00,,1162765059,2,,,,,
329,7/9/2025 00:00:00,,1162772857,2,,,,,
330,7/9/2025 00:00:00,,1162798746,2,,,,,
331,7/9/2025 00:00:00,,1162799033,2,,,,,
332,7/9/2025 00:00:00,30/12/1899 13:23:51,1162822421,3,,,,,
333,7/9/2025 00:00:00,,1162825796,2,,,,,
334,7/9/2025 00:00:00,,1162841843,2,,,,,
335,7/9/2025 00:00:00,30/12/1899 21:27:22,1162842411,3,,,,,
336,7/9/2025 00:00:00,,1162863573,2,,,,,
337,7/9/2025 00:00:00,,1162875783,2,,,,,
338,7/9/2025 00:00:00,,1162889644,2,,,,,
339,7/9/2025 00:00:00,,1162916983,2,,,,,
340,7/9/2025 00:00:00,,1162955536,2,,,,,
341,7/9/2025 00:00:00,,1162980237,2,,,,,
342,7/9/2025 00:00:00,,1162990046,2,,,,,
343,7/9/2025 00:00:00,,1162990079,2,,,,,
344,7/9/2025 00:00:00,,1163022633,2,,,,,
345,7/9/2025 00:00:00,,1163025578,2,,,,,
346,7/9/2025 00:00:00,,1163026634,2,,,,,
347,7/9/2025 00:00:00,,1163053182,2,,,,,
348,7/9/2025 00:00:00,,1163054222,2,,,,,
349,7/9/2025 00:00:00,,1163056672,2,,,,,
350,7/9/2025 00:00:00,,1163106097,2,,,,,
351,7/9/2025 00:00:00,,1163116799,2,,,,,
352,7/9/2025 00:00:00,,1163146341,2,,,,,
353,7/9/2025 00:00:00,,1163152760,2,,,,,
355,7/9/2025 00:00:00,,1163159344,2,,,,,
356,7/9/2025 00:00:00,,1163204504,2,,,,,
357,7/9/2025 00:00:00,,1163208505,2,,,,,
358,7/9/2025 00:00:00,,1163285552,2,,,,,
